BABA.K,BABA
RQI,RQI
C_pk,C$K
AMK,AMK
LGFb,LGF.B
AAT,AAT
BOOT.K,BOOT
EBRb,EBR.B
EB,EB
KRO,KRO
STPK.K,STPK
HMN,HMN
BALY.K,BALY
ESRT.K,ESRT
USPH.K,USPH
GAB,GAB
CCS,CCS
UE,UE
SOL,SOL
ARI,ARI
IAG,IAG
LNN,LNN
GNW,GNW
TY,TY
SYX,SYX
GTN,GTN
ZIM,ZIM
HY,HY
CIGc,CIG.C
CPG,CPG
MKCv,MKC.V
HKIB.K,HKIB
PAR,PAR
ELP,ELP
BSIG.K,BSIG
BV,BV
PNC_pp,PNC$P
BDJ,BDJ
CLB,CLB
EVH,EVH
KEN,KEN
HNP,HNP
COF_pi,COF$I
DKL,DKL
CXP,CXP
WDR,WDR
NTB,NTB
LTC,LTC
SCS,SCS
DEN,DEN
HBM,HBM
NPO,NPO
BBN,BBN
YPF,YPF
CEQP.K,CEQP
CNR,CNR
CRS,CRS
TUP,TUP
PBI,PBI
UIS,UIS
USA,USA
SBE,SBE
STPK_u.K,STPK.U
TBA,TBA
HEP,HEP
HOME.K,HOME
DLX,DLX
GNL,GNL
MS_pf,MS$F
WSOb,WSO.B
WPF,WPF
KAMN.K,KAMN
ANF,ANF
AMRX.K,AMRX
MEI,MEI
BAC_pb,BAC$B
GVA,GVA
DK,DK
JPM_pg,JPM$G
CBZ,CBZ
MHO,MHO
HNI,HNI
GES,GES
MMI,MMI
BAC_pm,BAC$M
ARGO.K,ARGO
FPF,FPF
SA,SA
TSLX.K,TSLX
KKR_pc,KKR$C
FSM,FSM
PFS,PFS
BAC_pn,BAC$N
VCRA.K,VCRA
AROC.K,AROC
BRMK.K,BRMK
MTRN.K,MTRN
UNFI.K,UNFI
BTZ,BTZ
HSC,HSC
PLT,PLT
ALX,ALX
HYT,HYT
SBE_u,SBE.U
DCUE.K,DCUE
PACK.K,PACK
ETV,ETV
GWB,GWB
ETG,ETG
FFG,FFG
BST,BST
CODI.K,CODI
WMK,WMK
NWN,NWN
KRG,KRG
NEXA.K,NEXA
GS_pd,GS$D
GHG,GHG
FTV_pa,FTV$A
USAC.K,USAC
GFF,GFF
TNC,TNC
BXMX.K,BXMX
VLRS.K,VLRS
IRT,IRT
ERJ,ERJ
NFJ,NFJ
GMS,GMS
ACH,ACH
PGTI.K,PGTI
NFH,NFH
GOL,GOL
MODN.K,MODN
COF_pj,COF$J
AZZ,AZZ
WPF_u,WPF.U
AIR,AIR
GBX,GBX
TPGY.K,TPGY
PTA,PTA
T_pa,T$A
SAND.K,SAND
STC,STC
AKR,AKR
EPAC.K,EPAC
RAD,RAD
ALL_ph,ALL$H
LADR.K,LADR
LINX.K,LINX
PRPB_u.K,PRPB.U
TR,TR
JWS,JWS
AKOb,AKO.B
MSC,MSC
SKT,SKT
BPMP.K,BPMP
FINV.K,FINV
NRK,NRK
FRO,FRO
FOE,FOE
DGNR.K,DGNR
EVRI.K,EVRI
SWM,SWM
WFC_px,WFC$X
WFC_pa,WFC$A
DIN,DIN
GTY,GTY
JPM_ph,JPM$H
HCC,HCC
FDP,FDP
FCF,FCF
NMZ,NMZ
PRPB.K,PRPB
MS_pk,MS$K
ELF,ELF
USB_pm,USB$M
GSAH.K,GSAH
ALEX.K,ALEX
LGFa,LGF.A
MS_pi,MS$I
RGR,RGR
LRN,LRN
DBD,DBD
STAR.K,STAR
CLI,CLI
UVV,UVV
CRHC.K,CRHC
BAC_po,BAC$O
DUK_pa,DUK$A
BSX_pa,BSX$A
APSG.K,APSG
IMAX.K,IMAX
RTP,RTP
BIF,BIF
CYH,CYH
NGA,NGA
OXM,OXM
CRK,CRK
MS_pa,MS$A
TGP,TGP
CHCT.K,CHCT
RES,RES
CLS,CLS
RNP,RNP
FOR,FOR
C_pj,C$J
DTP,DTP
AKOa,AKO.A
EOS,EOS
DRQ,DRQ
UWMC.K,UWMC
HQH,HQH
GEO,GEO
GS_pj,GS$J
SXI,SXI
CLNC.K,CLNC
JWS_u,JWS.U
AJAX_u.K,AJAX.U
NBHC.K,NBHC
KRA,KRA
SM,SM
MET_pf,MET$F
ARCO.K,ARCO
ETW,ETW
TPGY_u.K,TPGY.U
GEFb,GEF.B
PBF,PBF
C_ps,C$S
